league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
ENG-Premier League,2425,Wolves,André,BRA,MF,23,2001,33,31,2472,27.5,0,0,0,0,0,0,7,0,0.4,0.4,0.8,1.3,10,109,11,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
ENG-Premier League,2425,Wolves,Boubacar Traoré,MLI,MF,22,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",20,2004,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,10,8,28,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07
ENG-Premier League,2425,Wolves,Chiquinho,POR,MF,24,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",28,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2425,Wolves,Emmanuel Agbadou,CIV,DF,27,1997,16,16,1410,15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"MF,FW",27,1996,29,10,995,11.1,2,4,6,2,0,0,1,0,3.2,3.2,1.3,4.5,41,40,79,0.18,0.36,0.54,0.18,0.54,0.29,0.11,0.4,0.29,0.4
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28,1996,21,5,661,7.3,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,15,12,42,0.27,0.0,0.27,0.27,0.27,0.11,0.02,0.13,0.11,0.13
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,HAI,"MF,FW",26,1998,35,20,1677,18.6,2,7,9,2,0,0,3,0,1.5,1.5,3.8,5.3,52,43,89,0.11,0.38,0.48,0.11,0.48,0.08,0.2,0.29,0.08,0.29
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31,1993,29,29,2609,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23,2001,36,35,2974,33.0,3,1,4,3,0,0,11,1,2.9,2.9,1.2,4.1,59,165,76,0.09,0.03,0.12,0.09,0.12,0.09,0.04,0.12,0.09,0.12
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24,2000,35,30,2587,28.7,14,4,18,14,0,0,4,0,10.3,10.3,3.0,13.3,17,29,112,0.49,0.14,0.63,0.49,0.63,0.36,0.1,0.46,0.36,0.46
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",30,1993,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.2,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17
ENG-Premier League,2425,Wolves,Marshall Munetsi,ZIM,"MF,FW",28,1996,14,12,1078,12.0,2,1,3,2,0,0,0,0,3.3,3.3,1.8,5.1,9,10,35,0.17,0.08,0.25,0.17,0.25,0.28,0.15,0.42,0.28,0.42
ENG-Premier League,2425,Wolves,Mateus Mane,POR,MF,16,2007,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25,1999,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.3,0.27,0.57,0.3,0.57
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,DF,32,1992,30,25,2109,23.4,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.6,29,79,41,0.09,0.04,0.13,0.09,0.13,0.04,0.07,0.11,0.04,0.11
ENG-Premier League,2425,Wolves,Nasser Djiga,BFA,DF,21,2002,5,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,30,1993,34,32,2886,32.1,0,4,4,0,0,0,8,0,0.9,0.9,2.8,3.7,67,80,119,0.0,0.12,0.12,0.0,0.12,0.03,0.09,0.12,0.03,0.12
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",32,1992,23,7,814,9.0,3,2,5,3,0,0,3,0,2.9,2.9,1.8,4.6,15,60,62,0.33,0.22,0.55,0.33,0.55,0.32,0.19,0.51,0.32,0.51
ENG-Premier League,2425,Wolves,Pedro Lima,BRA,DF,18,2006,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.16,0.07,0.16
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23,2001,37,37,3109,34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.2,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,"DF,FW",21,2003,25,7,810,9.0,2,0,2,2,0,0,0,0,0.7,0.7,0.9,1.6,23,27,81,0.22,0.0,0.22,0.22,0.22,0.08,0.1,0.18,0.08,0.18
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,25,1998,29,18,1687,18.7,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,28,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ENG-Premier League,2425,Wolves,Tom King,WAL,GK,29,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,22,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.0,0.18,0.18,0.0,0.18,0.1,0.09,0.2,0.1,0.2
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25,1999,31,30,2614,29.0,0,1,1,0,0,0,7,0,0.7,0.7,0.9,1.7,27,86,18,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.06
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,23,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09
